# Time, S0, S1
9.682699441909790039e+01,2.293700000000000117e+01,2.281200000000000117e+01
9.862765359878540039e+01,2.293700000000000117e+01,2.281200000000000117e+01
1.004270446300506592e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.021869797706604004e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.039470205307006836e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.057070550918579102e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.074669914245605469e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.092269804477691650e+02,2.300000000000000000e+01,2.281200000000000117e+01
1.109873085021972656e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.127470579147338867e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.145070829391479492e+02,2.293700000000000117e+01,2.281200000000000117e+01
1.162670547962188721e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.180269951820373535e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.197869892120361328e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.215469582080841064e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.233069837093353271e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.250669691562652588e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.268270862102508545e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.285870947837829590e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.303470842838287354e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.321070168018341064e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.338671739101409912e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.356270568370819092e+02,2.293700000000000117e+01,2.287500000000000000e+01
1.373869907855987549e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.391469943523406982e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.409072098731994629e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.426670396327972412e+02,2.300000000000000000e+01,2.287500000000000000e+01
1.444269614219665527e+02,2.300000000000000000e+01,2.287500000000000000e+01
